session_id,entropy_index_beginning,entropy_time_beginning,n_cdp_index_beginning,n_cdp_time_beginning,entropy_diff_beginning,entropy_index_middle,entropy_time_middle,n_cdp_index_middle,n_cdp_time_middle,entropy_diff_middle,entropy_index_end,entropy_time_end,n_cdp_index_end,n_cdp_time_end,entropy_diff_end,conference
2021_10_07_CMC_S3,0.9709505944546686,0.9709505944546686,5,5,0.0,0.9910760598382222,1.0,9,2,0.008923940161777777,0.7054239374031818,0.685282216451617,18,25,-0.020141720951564746,2021CMC
2021_10_07_CMC_S4,0.8175195311866703,0.8175195311866703,13,13,0.0,1.0,,4,0,,0.8453509366224365,0.9182958340544896,11,15,0.07294489743205301,2021CMC
2021_10_07_CMC_S5,0.9182958340544896,0.9182958340544896,9,9,0.0,,,0,0,,0.5066818470208007,0.5066818470208007,18,18,0.0,2021CMC
2021_10_07_CMC_S6,0.5665095065529053,0.5665095065529053,15,15,0.0,1.0,1.0,6,6,0.0,0.9182958340544896,0.9182958340544896,6,6,0.0,2021CMC
2021_10_07_CMC_S7,0.8112781244591328,0.8112781244591328,4,4,0.0,0.8112781244591328,0.9182958340544896,4,3,0.10701770959535672,0.863120568566631,0.8112781244591328,7,8,-0.051842444107498165,2021CMC
2021_10_08_CMC_S1,0.8524051786494786,0.8997437586982626,18,19,0.047338580048783996,0.9544340029249649,0.8112781244591328,8,4,-0.1431558784658321,0.7199877141320896,0.7073842191177118,20,23,-0.012603495014377852,2021CMC
2021_10_08_CMC_S10,0.9975025463691153,0.9910760598382222,17,18,-0.006426486530893061,0.0,0.0,4,3,0.0,0.7219280948873623,0.7219280948873623,5,5,0.0,2021CMC
2021_10_08_CMC_S11,1.0,0.9940302114769565,20,22,-0.005969788523043529,0.9709505944546686,0.0,5,3,-0.9709505944546686,0.9852281360342516,0.9852281360342516,7,7,0.0,2021CMC
2021_10_08_CMC_S12,0.0,0.0,2,2,0.0,0.8812908992306927,0.0,10,1,-0.8812908992306927,0.6500224216483541,0.8366407419411673,6,15,0.18661832029281322,2021CMC
2021_10_08_CMC_S13,0.7355085815538398,0.7219280948873623,29,30,-0.013580486666477487,0.8453509366224365,0.8812908992306927,11,10,0.03593996260825616,0.7160863263878677,0.7160863263878677,18,18,0.0,2021CMC
2021_10_08_CMC_S14,0.5931648710702542,0.5931648710702542,29,29,0.0,0.9852281360342516,0.8453509366224365,14,11,-0.1398771994118151,0.7219280948873623,0.8865408928220899,20,23,0.1646127979347276,2021CMC
2021_10_08_CMC_S2,0.9940302114769565,0.9940302114769565,11,11,0.0,0.5435644431995964,,8,0,,0.863120568566631,0.5713619478607342,7,15,-0.29175862070589675,2021CMC
2021_10_08_CMC_S3,0.8112781244591328,0.8112781244591328,24,24,0.0,0.8112781244591328,0.8112781244591328,4,4,0.0,0.0,0.0,2,2,0.0,2021CMC
2021_10_08_CMC_S4,0.8453509366224365,0.7642045065086203,11,9,-0.08114643011381628,0.5916727785823275,0.9182958340544896,7,3,0.3266230554721621,0.6398243839286435,0.5913712412003556,16,22,-0.048453142728287935,2021CMC
2021_10_08_CMC_S5,0.8708644692353646,0.904381457724494,24,25,0.03351698848912932,0.8080141510844467,0.9182958340544896,12,3,0.11028168297004282,0.7871265862012691,0.730962929005098,17,25,-0.05616365719617111,2021CMC
2021_10_08_CMC_S6,0.7487368590694102,0.7518181887591274,26,23,0.003081329689717194,0.8112781244591328,0.8112781244591328,4,4,0.0,0.9544340029249649,0.8453509366224365,8,11,-0.1090830663025284,2021CMC
2021_10_08_CMC_S7,0.8739810481273578,0.8739810481273578,17,17,0.0,0.8112781244591328,0.863120568566631,8,7,0.051842444107498165,0.8112781244591328,0.7219280948873623,4,5,-0.08935002957177052,2021CMC
